rank,channel_id,channel_name
1,UChBQgieUidXV1CmDxSdRm3g,Citizen TV Kenya
2,UCqBJ47FjJcl61fmSbcadAVg,NTV Kenya
3,UCa2gldA2ivhzMwIJRA5683w,Lynn Ngugi
4,UCl6ICaB9meBcSMQ5Zmr446g,Tuko / Tuco - Kenya
5,UC_9xRXWjRrz_Jy7SWhUnBBw,Obinna TV Extra
6,UCUhrpGr_luwUzVaxiW5Jkhw,Switch TV
7,UC_zA9UIWE1fB-jfFk_DBSYw,TV47 Kenya
8,UCZ6r5PvXtieU9L0B2vh_ekg,Kenya Diaspora Media USA
9,UCMD-JmezXoQiV9PiWLwVpGQ,Presenter Ali
10,UC9cLBl4oAojA7oEMR6T-tpQ,THEE ALFA HOUSE
11,UChQXn6sL9ENIpA74qqPG1HA,3MenArmy Kenya
12,UCSVT1XTcae5Flp94OODu4mw,The Obinnaz
13,UC5h4-WH0LAV4CWs380yM33A,Iko Nini Podcast
14,UCEMsE6ZgO2sYnFBGxQK9vPA,Riba
15,UCfdQZXHsR1L2g4jDrMmVMTw,As Told By Kenya
16,UCD-Mf4F5ZQ1Jw-nb2gqD1mw,Engage Talk
17,UC9xBLAzNAgV9SfnJuXhGnOw,CTA - Cleaning The Airwaves
18,UCAvd919a1ibeG5cp5QtwXOw,Shared Moments with Justus
19,UCE3KVkSH1GwUtAAMcVcJ3QQ,UpSyd Digital Networks
20,UC6fVFxrbf0HDRW3B2mdWFGA,TMI Podcast KE
21,UCP6h0y-N-FUo8ATdUNpyxOA,Obinna TV Updates
22,UCE0YXdRyT9WC96KZfn7C9mQ,Ramogi TV Kenya
23,UC4mbONFfAIvBwPRIz8YxVTA,Kenyan Beast
24,UCCjULCQvh2cQQLzYe4DC2Nw,The Joy Ride
25,UCtkujHXv8lY-sBCBDzzWxmA,KENYAN PRINCE SHOW
26,UCk-y6aJF_a7lteORvIiVR-Q,KENYA NEWS TODAY
27,UCUjUOgVT4yiY4YkhWkVZWJw,Nenyon TV
28,UCjSpvbZM2B9dzDDq2caHTeQ,Corporate Staffing Services Kenya
29,UCmBQsChFjOTcqv7D6sT8dPw,ManTalk Ke
30,UCGkBhGjvbiPvAVfcRwec99A,CAPTAIN NYOTA TV 
31,UCq9K26KI96tZEQrSomHSjqg,Simy Kenya TV
32,UCEYqAce8R78wNRAkb8wIuVQ,The Sandwich Podcast KE
33,UChF4IIKouzHfiajuCCwSfDQ,My Woman KE
34,UC1usULY7rfWyhyyMiBUzg1g,KIKUYU PODCAST 
35,UCfy9aswLTfmuqcNylgMbUrA,Constable Kenya TV
36,UCgrAIOyT2rROw4NRIx3b-Wg,The Kenyan Wall Street
37,UC6AkSvREU3xfhyd2eVi_0vA,Stephanie Ng’ang’a
38,UCquxoW1DZM_FkQbuWhFLcNw,Chizzi Podcast
39,UCR0SvwY_QW7XrsaCZ_youXg,ZOZA PODCAST
40,UCyf44NvoOXWGFIbjBiFDehA,YAHORM MEDIA ENT (Naricks Produzar)
41,UCYWWUTwlrj_bB-iDpD_CEIQ,Radio Generation - Kenya
42,UCWSg6aESeaQTc3cBb6v4Z8w,The Kenya Times
43,UCaUB5LpDS3Rn7o7NGcqGy_Q,The Kisiangani Podcast
44,UCseyS4qX8WapqaxuvNTxcAg,Murata Podcast
45,UC_9V8tpBOjB75EC9-ojG2eg,Inside Kenyan Politics
46,UCfo5Or9z7-eSbZZfLUpyiVg,Unprepared to Entrepreneur Podcast Kenya
47,UCLEbibgwOY787d16dXshmbg,Judicial Service Commission of Kenya 
48,UCc0aPEt8MS0ZfelNyzws1rg,Kenya Experience
49,UCSJ_xZynTeSVbOL1-CerrBg,TradersKE
50,UCX3PuyIdiP_DQia1Y-u030A,TikiTaka Show
51,UCyM_kKYAciCS7-dwb4lgKhA,Walking The Streets Podcast
52,UCoqvVQZhVJsKjmSz_U8-G0Q,UTV Kenya
53,UCqZTP-hS-zmtAyBajAPMaaA,The Nubianommetry Podcast
54,UCU16G_L_VkiEhCFe4x64Htw,JAY TALK SHOW
55,UClQ9lXx7u81LrVs0g39uXZQ,Owen Raw Podcast 
56,UCnHS6S0P9v1In84o8_MBPww,Kenya News Today
57,UC3mm_4KgBUVXvP-rJXvifFg,Carole's corner
58,UC_wEpaDe8rpr9Z3zhi81ETQ,The Golden Voice Live 
59,UC-pNvh1Q6QL5ZQk6l4uGqrg,OSBKE
60,UCz0PR5q6nTnv0yuCOnbbj3w,Nairobi Gold Rush
61,UCZEY9zWfqwW3QRX-noFPogw,everythingKE Podcast
62,UCcM0pGfHMkUzfhukDzHgYaw,Kipusa Kenya
63,UCvlFa8WlZMMpbk5HmqZ0Gzg,Two Nilotes In A Pod
64,UCKqbHgn6MAhTc6BmnHo3ndA,Kenya National Drama & Film Festival
65,UCwKBD23uMk53Lqjy5YZQ9oQ,Presenter Ali 2
66,UCOdBdIQ7m6_RDzxkb9aZKwg,Truly Kenya
67,UCKiTp-tq2d06fBSVnlKuhKg,The Boys in blue podcast  kenya 
68,UC5dbxEO0Xx4olQ53orSvIlQ,RISE MEDIA KENYA
69,UC2fJ7DrZ6JqXkz_NWxIWnFg,KENYA NEWS BROADCAST
70,UC6JsHdLL00eTG0vJZK12rpA,kenyan Trapper🇰🇪
71,UCP8-q_PyC0efY_ZU229qFNQ,Radio44 Kenya
72,UClPl-fsL4xeuqUM2EBHmW1A,Surviving Nairobi
73,UCnMa48eMdKNDREmxGy7iz9Q,Lusambili TV
74,UCgSaEf5kIRhM3F8n9j2xA2w,ETV Kenya
75,UC40TsO6aNWvkRcFrUsfC1oQ,The Untold Truth Podcast 
76,UCpPEe4HGtZoIuK73rMBIX2g,Mic Check wid Mohit Sinha
77,UC8_mQivSbUS6yqLB4Tv-UYg,Podcastish Kenya
78,UCBid5Fx83EZ4Q2B59UhNfkw,Remote Tv-kenya
79,UCum5Ggsd4uv0qRkAMCBDJZw,MaForeign Podcast
80,UCCUV6fRBNAUuF2PtO41HVFg,Wavy Kenya
81,UCRurWvtzp-DSZbL2qgjxFdg,Panel54 Podcast
82,UCLwD7aMSjispS8JOy7FQB8w,SISIBO Podcast 
83,UCNo-ex-Lvy546IHafbCO_kw,Nairobi Sisterhood
84,UCpBkES9MwTkHys6m2ALHsjg,The Kisumu Street Talk Show
85,UCypFIWz7374bTaI3CEqy29w,Anonymous podcast 
86,UCmaOUZS6phnx1m4KBSYjIFw,Unchained and Unfiltered Podcast🇰🇪
87,UCGhDUAVEAQan8r1L6LZaH-A,Presenter Babjii
88,UC_Z62_Gelo8eoWVAY-Tvlwg,KENYAN PODCAST SHOW
89,UCetghnFpXF1FDG0F51ovbAA,THE SURREAL EXPERIENCE 254 🇰🇪
90,UCJnDcaiU2ys7qM8kFAUOuJw,Sisters in Law Podcast
91,UCt3O9c9h1HvVWYXMPHmmdTg,013 PODCAST KENYA
92,UCYcynN2gZOjVEUrQEissJEw,The Kenyan Life Podcast
93,UCr6lRblW1RhDfr1OiVopfCg,FLEEK PODCAST KENYA 
94,UCfn3M-wMNvmr1TETPmKcpjg,Rada Gani Podcast 
95,UCrkKRmxD0li0y9HjPb1xWMA,UpSyd Clips
96,UCZROVnJojNcgA6QkSn667fg,The Nextgen Podcast
