rank,channel_id,channel_name,channel_url,subscribers,video_count,country,classification,latest_video_id,latest_video_title,latest_video_thumbnail,latest_video_published_at,latest_video_duration_sec,generated_at_utc
1,UCqBJ47FjJcl61fmSbcadAVg,NTV Kenya,https://www.youtube.com/channel/UCqBJ47FjJcl61fmSbcadAVg,2940000,113693,KE,other,V3PL3b-l8PU,Your World | Breaking the cycle of firstborn burden,https://i.ytimg.com/vi/V3PL3b-l8PU/mqdefault.jpg,2025-10-06T09:09:33Z,7004,2025-10-06T09:36:02Z
2,UCa2gldA2ivhzMwIJRA5683w,Lynn Ngugi,https://www.youtube.com/channel/UCa2gldA2ivhzMwIJRA5683w,1410000,536,KE,other,1HQGk2eT-68,"Burkina Faso, Niger & Mali to Exit The ICC, The West Accuses Russia of Influencing Them | LNN",https://i.ytimg.com/vi/1HQGk2eT-68/mqdefault.jpg,2025-10-03T07:00:00Z,1173,2025-10-06T09:36:02Z
3,UCl6ICaB9meBcSMQ5Zmr446g,Tuko / Tuco - Kenya,https://www.youtube.com/channel/UCl6ICaB9meBcSMQ5Zmr446g,1180000,2016,KE,other,CjcFKEXV34w,He has joined forces with my relatives to take my property and life| Tuko TV,https://i.ytimg.com/vi/CjcFKEXV34w/mqdefault.jpg,2025-10-06T06:02:23Z,2037,2025-10-06T09:36:02Z
4,UC4QYAvoLTyE58CoqmmgqnDQ,Ridhwan Issack,https://www.youtube.com/channel/UC4QYAvoLTyE58CoqmmgqnDQ,1120000,709,KE,other,myvVDzCEo4I,CAANKA SPAIN | NINKI SOMALIDA KADHADHICIYAY INU YURUB JOOGO SIR BADAN KASHIFAY,https://i.ytimg.com/vi/myvVDzCEo4I/mqdefault.jpg,2025-10-04T16:22:23Z,3829,2025-10-06T09:36:02Z
5,UCUhrpGr_luwUzVaxiW5Jkhw,Switch TV,https://www.youtube.com/channel/UCUhrpGr_luwUzVaxiW5Jkhw,668000,8095,KE,other,S40hXB9diKQ,SWITCH TV KENYA,https://i.ytimg.com/vi/S40hXB9diKQ/mqdefault_live.jpg,2025-10-06T05:38:17Z,,2025-10-06T09:36:02Z
6,UC_9xRXWjRrz_Jy7SWhUnBBw,Obinna TV Extra,https://www.youtube.com/channel/UC_9xRXWjRrz_Jy7SWhUnBBw,597000,1711,KE,other,gPH9XGcNFfQ,Obinna Show Live: They Sold Our Country - Nuru Okanga,https://i.ytimg.com/vi/gPH9XGcNFfQ/mqdefault.jpg,2025-10-06T08:00:26Z,1084,2025-10-06T09:36:02Z
7,UCMD-JmezXoQiV9PiWLwVpGQ,Presenter Ali,https://www.youtube.com/channel/UCMD-JmezXoQiV9PiWLwVpGQ,503000,1929,KE,other,qnN2m1WXiFk,SELF MADE FOREX TRADER! HOW I BECAME A SUCCESSFUL FOREX TRADER- MISS GLOW FX,https://i.ytimg.com/vi/qnN2m1WXiFk/mqdefault.jpg,2025-09-19T10:21:46Z,1898,2025-10-06T09:36:02Z
8,UCZ6r5PvXtieU9L0B2vh_ekg,Kenya Diaspora Media USA,https://www.youtube.com/channel/UCZ6r5PvXtieU9L0B2vh_ekg,499000,4902,US,other,52_L71EIJcE,KDM CHAPEL - CUCU WINY,https://i.ytimg.com/vi/52_L71EIJcE/mqdefault.jpg,2025-10-06T02:31:24Z,7717,2025-10-06T09:36:02Z
9,UCOsHyjujol57SIFR0imyEKQ,Radio Jambo KENYA,https://www.youtube.com/channel/UCOsHyjujol57SIFR0imyEKQ,465000,5621,KE,other,p8u1RYlQCus,PATANISHO - MKE WANGU ALIPATA KAMA NAPIGIWA SIMU NA WASICHANA USIKU AKAKASIRIKA AKI NAOMBA ARUDI,https://i.ytimg.com/vi/p8u1RYlQCus/mqdefault.jpg,2025-10-06T06:30:24Z,797,2025-10-06T09:36:02Z
10,UCdsam40dq88HGkyIGsMFAsQ,JEFF KURIA,https://www.youtube.com/channel/UCdsam40dq88HGkyIGsMFAsQ,371000,1312,KE,other,uqPt_TsS09E,NIGUO KANA TIGUO FLAPPAH NA WAFIRETHI GUTHERIA,https://i.ytimg.com/vi/uqPt_TsS09E/mqdefault.jpg,2025-10-05T13:00:06Z,4840,2025-10-06T09:36:02Z
